"Tabela 4711 - Domicílios recenseados, por espécie"
"Variável - Domicílios recenseados (Domicílios)"
"Município";"Ano x Espécie"
"Tocantínia (TO)";"2774"
"Tocantinópolis (TO)";"8619"
"Tupirama (TO)";"828"
"Tupiratins (TO)";"971"
"Wanderlândia (TO)";"4574"
"Xambioá (TO)";"4635"
"Açailândia (MA)";"44370"
"Afonso Cunha (MA)";"2106"
"Água Doce do Maranhão (MA)";"4311"
"Alcântara (MA)";"8552"
"Aldeias Altas (MA)";"8008"
"Altamira do Maranhão (MA)";"2373"
"Alto Alegre do Maranhão (MA)";"9181"
"Alto Alegre do Pindaré (MA)";"9930"
"Alto Parnaíba (MA)";"4381"
"Amapá do Maranhão (MA)";"2560"
"Amarante do Maranhão (MA)";"14830"
"Anajatuba (MA)";"9576"
"Anapurus (MA)";"4935"
"Apicum-Açu (MA)";"5776"
"Araguanã (MA)";"3902"
"Araioses (MA)";"14738"
"Arame (MA)";"9532"
"Arari (MA)";"10563"
"Axixá (MA)";"4167"
"Bacabal (MA)";"38964"
"Bacabeira (MA)";"6960"
"Bacuri (MA)";"6185"
"Bacurituba (MA)";"2204"
"Balsas (MA)";"36996"
"Barão de Grajaú (MA)";"8590"
"Barra do Corda (MA)";"36839"
"Barreirinhas (MA)";"25510"
"Belágua (MA)";"2536"
"Bela Vista do Maranhão (MA)";"4182"
"Benedito Leite (MA)";"2374"
"Bequimão (MA)";"8148"
"Bernardo do Mearim (MA)";"2152"
"Boa Vista do Gurupi (MA)";"2827"
"Bom Jardim (MA)";"12918"
"Bom Jesus das Selvas (MA)";"11565"
"Bom Lugar (MA)";"4138"
"Brejo (MA)";"11503"
"Brejo de Areia (MA)";"3454"
"Buriti (MA)";"9907"
"Buriti Bravo (MA)";"8641"
"Buriticupu (MA)";"21077"
"Buritirana (MA)";"5553"
"Cachoeira Grande (MA)";"3316"
"Cajapió (MA)";"3658"
"Cajari (MA)";"5786"
"Campestre do Maranhão (MA)";"4951"
"Cândido Mendes (MA)";"7019"
"Cantanhede (MA)";"6554"
"Capinzal do Norte (MA)";"4439"
"Carolina (MA)";"9989"
"Carutapera (MA)";"8268"
"Caxias (MA)";"60143"
"Cedral (MA)";"3759"
"Central do Maranhão (MA)";"2800"
"Centro do Guilherme (MA)";"3943"
"Centro Novo do Maranhão (MA)";"5904"
"Chapadinha (MA)";"31620"
"Cidelândia (MA)";"5523"
"Codó (MA)";"42380"
"Coelho Neto (MA)";"14255"
"Colinas (MA)";"16331"
"Conceição do Lago-Açu (MA)";"4828"
"Coroatá (MA)";"23416"
"Cururupu (MA)";"12450"
"Davinópolis (MA)";"5924"
"Dom Pedro (MA)";"9015"
"Duque Bacelar (MA)";"3217"
"Esperantinópolis (MA)";"6968"
"Estreito (MA)";"14127"
"Feira Nova do Maranhão (MA)";"2980"
"Fernando Falcão (MA)";"3313"
"Formosa da Serra Negra (MA)";"6645"
"Fortaleza dos Nogueiras (MA)";"4870"
"Fortuna (MA)";"6505"
"Godofredo Viana (MA)";"3867"
"Gonçalves Dias (MA)";"6796"
"Governador Archer (MA)";"3569"
"Governador Edison Lobão (MA)";"8633"
"Governador Eugênio Barros (MA)";"5190"
"Governador Luiz Rocha (MA)";"2885"
"Governador Newton Bello (MA)";"3423"
"Governador Nunes Freire (MA)";"8559"
"Graça Aranha (MA)";"2533"
"Grajaú (MA)";"28279"
"Guimarães (MA)";"4577"
"Humberto de Campos (MA)";"9833"
"Icatu (MA)";"8411"
"Igarapé do Meio (MA)";"4656"
"Igarapé Grande (MA)";"3862"
"Imperatriz (MA)";"110137"
"Itaipava do Grajaú (MA)";"4919"
"Itapecuru Mirim (MA)";"24831"
"Itinga do Maranhão (MA)";"9356"
"Jatobá (MA)";"2899"
"Jenipapo dos Vieiras (MA)";"5613"
"João Lisboa (MA)";"10003"
"Joselândia (MA)";"6056"
"Junco do Maranhão (MA)";"2060"
"Lago da Pedra (MA)";"16420"
"Lago do Junco (MA)";"3539"
"Lago Verde (MA)";"5346"
"Lagoa do Mato (MA)";"3916"
"Lago dos Rodrigues (MA)";"3391"
"Lagoa Grande do Maranhão (MA)";"4567"
"Lajeado Novo (MA)";"2954"
"Lima Campos (MA)";"4587"
"Loreto (MA)";"4287"
"Luís Domingues (MA)";"2406"
"Magalhães de Almeida (MA)";"5068"
"Maracaçumé (MA)";"7333"
"Marajá do Sena (MA)";"2985"
"Maranhãozinho (MA)";"3953"
"Mata Roma (MA)";"6227"
"Matinha (MA)";"8320"
"Matões (MA)";"12244"
"Matões do Norte (MA)";"4190"
"Milagres do Maranhão (MA)";"2951"
"Mirador (MA)";"8406"
"Miranda do Norte (MA)";"6867"
"Mirinzal (MA)";"5653"
"Monção (MA)";"9589"
"Montes Altos (MA)";"3643"
"Morros (MA)";"6965"
"Nina Rodrigues (MA)";"3561"
"Nova Colinas (MA)";"2011"
"Nova Iorque (MA)";"1962"
"Nova Olinda do Maranhão (MA)";"5375"
"Olho d'Água das Cunhãs (MA)";"6822"
"Olinda Nova do Maranhão (MA)";"5040"
"Paço do Lumiar (MA)";"60826"
"Palmeirândia (MA)";"7082"
"Paraibano (MA)";"7653"
"Parnarama (MA)";"12308"
"Passagem Franca (MA)";"7303"
"Pastos Bons (MA)";"8144"
"Paulino Neves (MA)";"5733"
"Paulo Ramos (MA)";"7681"
"Pedreiras (MA)";"14473"
"Pedro do Rosário (MA)";"7814"
"Penalva (MA)";"11592"
"Peri Mirim (MA)";"4613"
"Peritoró (MA)";"7305"
"Pindaré-Mirim (MA)";"11028"
"Pinheiro (MA)";"32003"
"Pio XII (MA)";"8037"
"Pirapemas (MA)";"5774"
"Poção de Pedras (MA)";"7490"
"Porto Franco (MA)";"9624"
"Porto Rico do Maranhão (MA)";"2197"
"Presidente Dutra (MA)";"17948"
"Presidente Juscelino (MA)";"3867"
"Presidente Médici (MA)";"1807"
"Presidente Sarney (MA)";"6417"
"Presidente Vargas (MA)";"3476"
"Primeira Cruz (MA)";"4567"
"Raposa (MA)";"11745"
"Riachão (MA)";"9558"
"Ribamar Fiquene (MA)";"3243"
"Rosário (MA)";"14567"
"Sambaíba (MA)";"2532"
"Santa Filomena do Maranhão (MA)";"2653"
"Santa Helena (MA)";"12055"
"Santa Inês (MA)";"32784"
"Santa Luzia (MA)";"23536"
"Santa Luzia do Paruá (MA)";"8579"
"Santa Quitéria do Maranhão (MA)";"7919"
"Santa Rita (MA)";"13149"
"Santana do Maranhão (MA)";"3737"
"Santo Amaro do Maranhão (MA)";"4546"
"Santo Antônio dos Lopes (MA)";"5597"
"São Benedito do Rio Preto (MA)";"6217"
"São Bento (MA)";"13594"
"São Bernardo (MA)";"9714"
"São Domingos do Azeitão (MA)";"3022"
"São Domingos do Maranhão (MA)";"13694"
"São Félix de Balsas (MA)";"1949"
"São Francisco do Brejão (MA)";"3780"
"São Francisco do Maranhão (MA)";"5186"
"São João Batista (MA)";"7048"
"São João do Carú (MA)";"4205"
"São João do Paraíso (MA)";"4315"
"São João do Soter (MA)";"6375"
"São João dos Patos (MA)";"11364"
"São José de Ribamar (MA)";"102299"
"São José dos Basílios (MA)";"2608"
"São Luís (MA)";"406974"
"São Luís Gonzaga do Maranhão (MA)";"7188"
"São Mateus do Maranhão (MA)";"14773"
"São Pedro da Água Branca (MA)";"4581"
"São Pedro dos Crentes (MA)";"2071"
"São Raimundo das Mangabeiras (MA)";"7501"
"São Raimundo do Doca Bezerra (MA)";"2139"
"São Roberto (MA)";"1831"
"São Vicente Ferrer (MA)";"7567"
"Satubinha (MA)";"3078"
"Senador Alexandre Costa (MA)";"3951"
"Senador La Rocque (MA)";"6123"
"Serrano do Maranhão (MA)";"3953"
"Sítio Novo (MA)";"6515"
"Sucupira do Norte (MA)";"4346"
"Sucupira do Riachão (MA)";"2302"
"Tasso Fragoso (MA)";"3510"
"Timbiras (MA)";"9533"
"Timon (MA)";"68052"
"Trizidela do Vale (MA)";"8626"
"Tufilândia (MA)";"2053"
"Tuntum (MA)";"14550"
"Turiaçu (MA)";"11177"
"Turilândia (MA)";"7729"
"Tutóia (MA)";"18615"
"Urbano Santos (MA)";"11217"
"Vargem Grande (MA)";"15952"
"Viana (MA)";"19228"
"Vila Nova dos Martírios (MA)";"4534"
"Vitória do Mearim (MA)";"11804"
"Vitorino Freire (MA)";"11568"
"Zé Doca (MA)";"16234"
"Acauã (PI)";"3098"
"Agricolândia (PI)";"2286"
"Água Branca (PI)";"7530"
"Alagoinha do Piauí (PI)";"3826"
"Alegrete do Piauí (PI)";"2169"
"Alto Longá (PI)";"6049"
"Altos (PI)";"20938"
"Alvorada do Gurguéia (PI)";"2207"
"Amarante (PI)";"7313"
"Angical do Piauí (PI)";"3308"
"Anísio de Abreu (PI)";"4465"
"Antônio Almeida (PI)";"1454"
"Aroazes (PI)";"2417"
"Aroeiras do Itaim (PI)";"1271"
"Arraial (PI)";"2106"
"Assunção do Piauí (PI)";"4111"
"Avelino Lopes (PI)";"5004"
"Baixa Grande do Ribeiro (PI)";"5654"
"Barra D'Alcântara (PI)";"1959"
"Barras (PI)";"18024"
"Barreiras do Piauí (PI)";"1431"
"Barro Duro (PI)";"2860"
"Batalha (PI)";"11099"
"Bela Vista do Piauí (PI)";"1607"
"Belém do Piauí (PI)";"1583"
"Beneditinos (PI)";"4742"
"Bertolínia (PI)";"2312"
"Betânia do Piauí (PI)";"3011"
"Boa Hora (PI)";"2589"
"Bocaina (PI)";"2533"
"Bom Jesus (PI)";"12197"
"Bom Princípio do Piauí (PI)";"2315"
"Bonfim do Piauí (PI)";"2669"
"Boqueirão do Piauí (PI)";"2573"
"Brasileira (PI)";"3719"
"Brejo do Piauí (PI)";"2002"
"Buriti dos Lopes (PI)";"7628"
"Buriti dos Montes (PI)";"3457"
"Cabeceiras do Piauí (PI)";"3885"
"Cajazeiras do Piauí (PI)";"1390"
"Cajueiro da Praia (PI)";"3608"
"Caldeirão Grande do Piauí (PI)";"2624"
"Campinas do Piauí (PI)";"2567"
"Campo Alegre do Fidalgo (PI)";"2384"
"Campo Grande do Piauí (PI)";"2952"
"Campo Largo do Piauí (PI)";"2658"
"Campo Maior (PI)";"19523"
"Canavieira (PI)";"1807"
"Canto do Buriti (PI)";"9330"
"Capitão de Campos (PI)";"4615"
"Capitão Gervásio Oliveira (PI)";"2131"
"Caracol (PI)";"4510"
"Caraúbas do Piauí (PI)";"2342"
"Caridade do Piauí (PI)";"2280"
"Castelo do Piauí (PI)";"8736"
"Caxingó (PI)";"2175"
"Cocal (PI)";"11670"
"Cocal de Telha (PI)";"2222"
"Cocal dos Alves (PI)";"2936"
"Coivaras (PI)";"1764"
"Colônia do Gurguéia (PI)";"2845"
"Colônia do Piauí (PI)";"3238"
"Conceição do Canindé (PI)";"2426"
"Coronel José Dias (PI)";"2165"
"Corrente (PI)";"11533"
"Cristalândia do Piauí (PI)";"3208"
"Cristino Castro (PI)";"4409"
"Curimatá (PI)";"5264"
"Currais (PI)";"2221"
"Curralinhos (PI)";"1973"
"Curral Novo do Piauí (PI)";"2264"
"Demerval Lobão (PI)";"8100"
"Dirceu Arcoverde (PI)";"3128"
"Dom Expedito Lopes (PI)";"2880"
"Domingos Mourão (PI)";"1859"
"Dom Inocêncio (PI)";"4516"
"Elesbão Veloso (PI)";"6433"
"Eliseu Martins (PI)";"2184"
"Esperantina (PI)";"16255"
"Fartura do Piauí (PI)";"2350"
"Flores do Piauí (PI)";"2261"
